Designator,Mid X,Mid Y,Rotation,Layer
C1,144.445,-76.815,270.0,top
C10,147.375,-80.1,0.0,top
C11,150.3,-94.875,270.0,top
C12,137.025,-61.6,0.0,top
C13,110.125,-85.5,180.0,top
C14,149.1,-72.225,90.0,top
C15,117.625,-98.7,180.0,top
C16,110.125,-82.8,180.0,top
C17,144.5,-64.5,270.0,top
C18,147.275,-97.9,0.0,top
C2,129.7,-83.425,90.0,top
C3,134.2,-81.325,90.0,top
C4,123.275,-89.7,0.0,top
C5,138.825,-86.1,0.0,top
C6,136.425,-90.0,0.0,top
C7,133.1,-71.475,90.0,top
C8,142.7,-94.775,270.0,top
C9,141.6,-83.7,270.0,top
D1,115.1,-85.8,0.0,top
D2,120.7,-85.8,0.0,top
J1,125.0,-96.0,0.0,top
J2,136.7,-95.25,0.0,top
R1,131.8,-81.275,90.0,top
R10,117.6,-88.975,90.0,top
R11,120.2,-88.975,90.0,top
R12,130.2,-76.925,90.0,top
R13,130.2,-73.575,270.0,top
R14,148.8,-64.4,90.0,top
R2,129.675,-86.3,0.0,top
R3,129.675,-88.6,180.0,top
R4,117.6,-92.375,90.0,top
R5,117.6,-95.925,270.0,top
R6,132.4125,-91.5125,270.0,top
R7,114.475,-82.855,180.0,top
R8,119.825,-82.855,180.0,top
R9,138.5,-64.525,90.0,top
SW1,111.875,-90.4,180.0,top
SW2,111.875,-96.8,0.0,top
U1,141.7,-78.8,270.0,top
U10,114.85,-71.35,90.0,top
U11,159.73,-97.5,180.0,top
U2,134.2,-85.9,90.0,top
U3,125.5,-86.0625,270.0,top
U4,137.0375,-71.75,90.0,top
U5,146.6,-85.95,90.0,top
U6,146.4625,-94.95,180.0,top
U7,135.955,-64.4925,270.0,top
U8,146.0,-72.0,90.0,top
U9,146.715,-64.5025,90.0,top
